Epoch:335, loss:0.593, time_spent:3.21s
Epoch:336, loss:0.246, time_spent:3.21s
Epoch:337, loss:0.477, time_spent:3.21s
Epoch:338, loss:0.487, time_spent:3.21s
Epoch:339, loss:0.532, time_spent:3.21s
Epoch:340, loss:0.531, time_spent:3.21s
Epoch:341, loss:0.391, time_spent:3.21s
Epoch:342, loss:0.284, time_spent:3.21s
Epoch:343, loss:0.245, time_spent:3.21s
Epoch:344, loss:0.401, time_spent:3.22s
Epoch:345, loss:0.132, time_spent:3.21s
Epoch:346, loss:0.355, time_spent:3.21s
Epoch:347, loss:0.434, time_spent:3.21s
Epoch:348, loss:0.350, time_spent:3.21s
Epoch:349, loss:0.122, time_spent:3.21s
Epoch:350, loss:0.602, time_spent:3.21s
Epoch:351, loss:0.342, time_spent:3.21s
Epoch:352, loss:0.507, time_spent:3.21s
Epoch:353, loss:0.213, time_spent:3.21s
Epoch:354, loss:0.436, time_spent:3.21s
Epoch:355, loss:0.534, time_spent:3.21s
Epoch:356, loss:0.195, time_spent:3.21s
Epoch:357, loss:0.323, time_spent:3.21s
Epoch:358, loss:0.439, time_spent:3.21s
Epoch:359, loss:0.308, time_spent:3.21s
Epoch:360, loss:0.366, time_spent:3.21s
Epoch:361, loss:0.142, time_spent:3.21s
Epoch:362, loss:0.216, time_spent:3.21s
Epoch:363, loss:0.416, time_spent:3.21s
Epoch:364, loss:0.241, time_spent:3.21s
Epoch:365, loss:0.516, time_spent:3.21s
Epoch:366, loss:0.250, time_spent:3.21s
Epoch:367, loss:0.316, time_spent:3.21s
Epoch:368, loss:0.117, time_spent:3.21s
Epoch:369, loss:0.162, time_spent:3.21s
Epoch:370, loss:0.244, time_spent:3.21s
Epoch:371, loss:1.038, time_spent:3.21s
Epoch:372, loss:0.217, time_spent:3.21s
Epoch:373, loss:0.526, time_spent:3.21s
Epoch:374, loss:0.468, time_spent:3.21s
Epoch:375, loss:0.168, time_spent:3.20s
Epoch:376, loss:0.542, time_spent:3.21s
Epoch:377, loss:0.289, time_spent:3.21s
Epoch:378, loss:0.767, time_spent:3.21s
Epoch:379, loss:0.441, time_spent:3.21s
Epoch:380, loss:0.431, time_spent:3.21s
Epoch:381, loss:0.327, time_spent:3.22s
Epoch:382, loss:0.457, time_spent:3.21s
Epoch:383, loss:0.556, time_spent:3.21s
Epoch:384, loss:0.663, time_spent:3.21s
Epoch:385, loss:0.180, time_spent:3.21s
Epoch:386, loss:0.262, time_spent:3.21s
Epoch:387, loss:0.254, time_spent:3.21s
Epoch:388, loss:0.525, time_spent:3.21s
Epoch:389, loss:0.286, time_spent:3.21s
Epoch:390, loss:0.281, time_spent:3.20s
Epoch:391, loss:0.108, time_spent:3.21s
Epoch:392, loss:0.411, time_spent:3.21s
Epoch:393, loss:0.360, time_spent:3.21s
Epoch:394, loss:0.379, time_spent:3.21s
Epoch:395, loss:0.249, time_spent:3.21s
Epoch:396, loss:0.534, time_spent:3.21s
Epoch:397, loss:0.483, time_spent:3.21s
Epoch:398, loss:0.153, time_spent:3.21s
Epoch:399, loss:0.388, time_spent:3.21s
Epoch:400, loss:0.466, time_spent:3.21s
Epoch:401, loss:0.537, time_spent:3.21s
Epoch:402, loss:0.378, time_spent:3.21s
Epoch:403, loss:0.393, time_spent:3.21s
